d,o,h,l,c,v
2020/2/4,78.827499,79.910004,78.407501,79.712502,136616400
2020/2/5,80.879997,81.190002,79.737503,80.362503,118826800
2020/2/6,80.642502,81.305,80.065002,81.302498,105425600
2020/2/7,80.592499,80.849998,79.5,80.0075,117684000
2020/2/10,78.544998,80.387497,78.462502,80.387497,109348800
2020/2/11,80.900002,80.974998,79.677498,79.902496,94323200
2020/2/12,80.3675,81.805,80.3675,81.800003,113730400
2020/2/13,81.047501,81.555,80.837502,81.217499,94747600
2020/2/14,81.184998,81.495003,80.712502,81.237503,80113600
2020/2/18,78.839996,79.9375,78.652496,79.75,152531200
2020/2/19,80,81.142502,80,80.904999,93984000
2020/2/20,80.657501,81.162498,79.552498,80.074997,100566000
2020/2/21,79.654999,80.112503,77.625,78.262497,129554000
2020/2/24,74.315002,76.044998,72.307503,74.544998,222195200
2020/2/25,75.237503,75.6325,71.532501,72.019997,230673600
2020/2/26,71.6325,74.470001,71.625,73.162498,198054800
2020/2/27,70.275002,71.5,68.239998,68.379997,320605600
2020/2/28,64.315002,69.602501,64.092499,68.339996,426884800
2020/3/2,70.57,75.360001,69.43,74.702499,341397200
2020/3/3,75.917503,76,71.449997,72.330002,319475600
2020/3/4,74.110001,75.849998,73.282501,75.684998,219178400
2020/3/5,73.879997,74.887497,72.852501,73.230003,187572800
2020/3/6,70.5,72.705002,70.307503,72.2575,226176800
2020/3/9,65.9375,69.522499,65.75,66.542503,286744800
2020/3/10,69.285004,71.610001,67.342499,71.334999,285290000
2020/3/11,69.347504,70.305,67.964996,68.857498,255598800
2020/3/12,63.985001,67.5,62,62.057499,418474000
2020/3/13,66.222504,69.980003,63.237499,69.4925,370732000
2020/3/16,60.487499,64.769997,60,60.552502,322423600
2020/3/17,61.877499,64.402496,59.599998,63.215,324056000
2020/3/18,59.942501,62.5,59.279999,61.6675,300233600
2020/3/19,61.8475,63.209999,60.6525,61.195,271857200
2020/3/20,61.794998,62.9575,57,57.310001,401693200
2020/3/23,57.02,57.125,53.1525,56.092499,336752800
2020/3/24,59.09,61.922501,58.575001,61.720001,287531200
2020/3/25,62.6875,64.5625,61.075001,61.380001,303602000
2020/3/26,61.630001,64.669998,61.59,64.610001,252087200
2020/3/27,63.1875,63.967499,61.762501,61.935001,204216800
2020/3/30,62.685001,63.880001,62.349998,63.702499,167976400
2020/3/31,63.900002,65.622498,63,63.572498,197002000
2020/4/1,61.625,62.18,59.782501,60.227501,176218400
2020/4/2,60.084999,61.287498,59.224998,61.232498,165934000
2020/4/3,60.700001,61.424999,59.7425,60.352501,129880000
2020/4/6,62.724998,65.777496,62.345001,65.6175,201820400
2020/4/7,67.699997,67.925003,64.75,64.857498,202887200
2020/4/8,65.684998,66.842499,65.307503,66.517502,168895200
2020/4/9,67.175003,67.517502,66.175003,66.997498,162116400
2020/4/13,67.077499,68.425003,66.457497,68.3125,131022800
2020/4/14,70,72.0625,69.512497,71.762497,194994800
2020/4/15,70.599998,71.582497,70.157501,71.107498,131154400
2020/4/16,71.845001,72.050003,70.587502,71.672501,157125200
2020/4/17,71.172501,71.737503,69.214996,70.699997,215250000
2020/4/20,69.487503,70.419998,69.212502,69.232498,130015200
2020/4/21,69.07,69.3125,66.357498,67.092499,180991600
2020/4/22,68.402496,69.474998,68.050003,69.025002,117057200
2020/4/23,68.967499,70.4375,68.717499,68.7575,124814400
2020/4/24,69.300003,70.752502,69.25,70.7425,126508800
2020/4/27,70.449997,71.135002,69.987503,70.792503,117087600
2020/4/28,71.269997,71.457497,69.550003,69.644997,112004800
2020/4/29,71.182503,72.417503,70.972504,71.932503,137280800
2020/4/30,72.489998,73.6325,72.087502,73.449997,183064000
2020/5/1,71.5625,74.75,71.462502,72.267502,240616800
2020/5/4,72.292503,73.422501,71.580002,73.290001,133568000
2020/5/5,73.764999,75.25,73.614998,74.389999,147751200
2020/5/6,75.114998,75.809998,74.717499,75.157501,142333600
2020/5/7,75.805,76.292503,75.4925,75.934998,115215200
2020/5/8,76.410004,77.587502,76.072502,77.532501,134048000
2020/5/11,77.025002,79.262497,76.809998,78.752502,145946400
2020/5/12,79.457497,79.922501,77.727501,77.852501,162301200
2020/5/13,78.037498,78.987503,75.802498,76.912498,200622400
2020/5/14,76.127502,77.447502,75.3825,77.385002,158929200
2020/5/15,75.087502,76.974998,75.052498,76.927498,166348400
2020/5/18,78.292503,79.125,77.580002,78.739998,135372400
2020/5/19,78.7575,79.629997,78.252502,78.285004,101729600
2020/5/20,79.169998,79.879997,79.129997,79.807503,111504800
2020/5/21,79.665001,80.222504,78.967499,79.212502,102688800
2020/5/22,78.942497,79.807503,78.837502,79.722504,81803200
2020/5/26,80.875,81.059998,79.125,79.182503,125522000
2020/5/27,79.035004,79.677498,78.272499,79.527496,112945200
2020/5/28,79.192497,80.860001,78.907501,79.5625,133560800
