day,open,high,low,close,volume,entry,20daymax,maxday,HoldDays,ProfitRate,preday,preopen,prehigh,prelow,preclose,prevolume
2019/9/6,53.512501,53.605,53.127499,53.314999,77449200,53.1752491,57.055,2019/10/1,25,7.296%,2019/9/5,53,53.4925,52.877499,53.32,95654800
2020/1/27,77.514999,77.942497,76.220001,77.237503,161940000,76.3922506,81.962502,2020/1/29,2,7.292%,2020/1/24,80.0625,80.832497,79.379997,79.577499,146537600
2019/8/22,53.297501,53.610001,52.6875,53.115002,89014800,52.7797501,56.605,2019/9/12,21,7.248%,2019/8/21,53.247501,53.412498,52.900002,53.16,86141600
2019/3/21,47.505001,49.0825,47.452499,48.772499,204136800,47.6154991,51.037498,2019/4/18,28,7.187%,2019/3/20,46.557499,47.372501,46.182499,47.040001,124140800
2020/11/9,120.5,121.989998,116.050003,116.32,154515300,116.6440025,124.980003,2020/12/8,29,7.147%,2020/11/6,118.32,119.199997,116.129997,118.690002,114457900
2019/6/17,48.224998,48.740002,48.0425,48.4725,58676400,48.1122502,51.5275,2019/7/16,29,7.099%,2019/6/14,47.887501,48.397499,47.575001,48.185001,75046000
2019/3/22,48.834999,49.422501,47.695,47.762501,169630800,47.8677501,51.235001,2019/4/22,31,7.034%,2019/3/21,47.505001,49.0825,47.452499,48.772499,204136800
2020/11/6,118.32,119.199997,116.129997,118.690002,114457900,116.436997,124.57,2020/12/7,31,6.985%,2020/11/5,117.949997,119.620003,116.870003,119.029999,126387100
2019/7/25,52.2225,52.310001,51.682499,51.755001,55638400,51.7452492,55.342499,2019/7/31,6,6.952%,2019/7/24,51.9175,52.287498,51.7925,52.1675,59966400
2019/2/1,41.740002,42.244999,41.482498,41.630001,130672400,41.5587481,44.4375,2019/3/4,31,6.927%,2019/1/31,41.5275,42.25,41.139999,41.610001,162958400
2020/1/9,76.809998,77.607498,76.550003,77.407501,170108400,76.6557525,81.962502,2020/1/29,20,6.923%,2020/1/8,74.290001,76.110001,74.290001,75.797501,132079200
2019/8/21,53.247501,53.412498,52.900002,53.16,86141600,52.9512516,56.605,2019/9/12,22,6.900%,2019/8/20,52.720001,53.337502,52.580002,52.59,107537200
2019/6/25,49.607498,49.814999,48.822498,48.892502,84281200,48.9217481,52.287498,2019/7/24,29,6.880%,2019/6/24,49.634998,50.040001,49.5425,49.645,72881600
2019/6/10,47.952499,48.842499,47.904999,48.145,104883600,47.998749,51.27,2019/7/5,25,6.815%,2019/6/7,46.627499,47.98,46.442501,47.537498,122737600
2019/5/13,46.927502,47.369999,45.712502,46.43,229722400,45.8782517,49,2019/6/11,29,6.804%,2019/5/10,49.355,49.712502,48.192501,49.294998,164834800
2019/6/28,49.669998,49.875,49.262501,49.48,124442400,49.3237509,52.66,2019/7/29,31,6.764%,2019/6/27,50.072498,50.392502,49.892502,49.935001,83598800
2019/7/24,51.9175,52.287498,51.7925,52.1675,59966400,51.8419998,55.342499,2019/7/31,7,6.752%,2019/7/23,52.115002,52.227501,51.822498,52.209999,73420800
2019/7/26,51.869999,52.432499,51.785,51.935001,70475600,51.8497499,55.342499,2019/7/31,5,6.736%,2019/7/25,52.2225,52.310001,51.682499,51.755001,55638400
2019/7/23,52.115002,52.227501,51.822498,52.209999,73420800,51.8629983,55.342499,2019/7/31,8,6.709%,2019/7/22,50.912498,51.807499,50.9025,51.805,89111600
2020/11/13,119.440002,119.669998,117.870003,119.260002,81581900,118.0500025,125.949997,2020/12/9,26,6.692%,2020/11/12,119.620003,120.529999,118.57,119.209999,103162300
2020/12/22,131.610001,134.410004,129.649994,131.880005,168904800,130.125995,138.789993,2020/12/29,7,6.658%,2020/12/21,125.019997,128.309998,123.449997,128.229996,121251600
2019/11/15,65.919998,66.445,65.752502,66.440002,100206400,65.8217518,70.197502,2019/12/16,31,6.648%,2019/11/14,65.9375,66.220001,65.525002,65.660004,89182800
2019/7/30,52.189999,52.540001,51.827499,52.195,135742800,51.8987492,55.342499,2019/7/31,1,6.636%,2019/7/29,52.115002,52.66,52.110001,52.419998,86693600
2019/1/31,41.5275,42.25,41.139999,41.610001,162958400,41.2509991,43.967499,2019/2/25,25,6.585%,2019/1/30,40.8125,41.537498,40.057499,41.3125,244439200
2020/10/23,116.389999,116.550003,114.279999,115.040001,82572600,114.5069994,121.989998,2020/11/9,17,6.535%,2020/10/22,117.449997,118.040001,114.589996,115.75,101988000
2019/11/18,66.449997,66.857498,66.057503,66.775002,86703200,66.1375025,70.442497,2019/12/17,29,6.509%,2019/11/15,65.919998,66.445,65.752502,66.440002,100206400
2019/4/26,51.224998,51.25,50.529999,51.075001,74596400,50.6019991,53.827499,2019/5/1,5,6.374%,2019/4/25,51.7075,51.939999,51.279999,51.32,74172800
2020/9/10,120.360001,120.5,112.5,113.489998,182274400,113.3,120.5,2020/9/10,0,6.355%,2020/9/9,117.260002,119.139999,115.260002,117.32,176940500
2020/9/8,113.949997,118.989998,112.68,112.82,231366600,113.3109998,120.5,2020/9/10,2,6.344%,2020/9/4,120.07,123.699997,110.889999,120.959999,332607200
2019/4/22,50.7075,51.235001,50.584999,51.1325,77758000,50.6499992,53.827499,2019/5/1,9,6.273%,2019/4/18,50.779999,51.037498,50.630001,50.965,96783200
2020/10/27,115.489998,117.279999,114.540001,116.599998,92276800,114.8140008,121.989998,2020/11/9,13,6.250%,2020/10/26,114.010002,116.550003,112.879997,115.050003,111850700
